INFO 2025-06-22 03:26:28,217 views Completed firebase CLIENT->SERVER testing
INFO 2025-06-22 03:26:28,600 views CLIENT resource monitoring stopped
INFO 2025-06-22 03:26:28,600 views Resource monitoring stopped
INFO 2025-06-22 03:26:28,600 views Enhanced CLIENT->SERVER performance tests completed: enhanced_test_1750555587_3b635fde
INFO 2025-06-22 03:26:28,601 views Enhanced CLIENT->SERVER performance tests completed: enhanced_test_1750555587_3b635fde
INFO 2025-06-22 03:30:59,919 views Starting enhanced CLIENT->SERVER performance tests: enhanced_test_1750555859_58c7b36f
INFO 2025-06-22 03:30:59,937 views CLIENT resource monitoring started
INFO 2025-06-22 03:30:59,940 views Resource monitoring started
INFO 2025-06-22 03:30:59,942 views Testing websocket CLIENT->SERVER...
INFO 2025-06-22 03:30:59,943 views Starting WebSocket CLIENT->SERVER performance test
INFO 2025-06-22 03:31:00,051 views WebSocket CLIENT->SERVER test completed: 5/5 successful
INFO 2025-06-22 03:31:00,132 views Completed websocket CLIENT->SERVER testing
INFO 2025-06-22 03:31:00,135 views Testing longpolling CLIENT->SERVER...
INFO 2025-06-22 03:31:00,136 views Starting Long Polling CLIENT->SERVER performance test
INFO 2025-06-22 03:31:00,303 views Long Polling CLIENT->SERVER test completed: 5/5 successful
INFO 2025-06-22 03:31:00,305 views Completed longpolling CLIENT->SERVER testing
INFO 2025-06-22 03:31:00,305 views Testing firebase CLIENT->SERVER...
INFO 2025-06-22 03:31:00,306 views Starting Enhanced Firebase performance test
INFO 2025-06-22 03:31:00,307 views Step 1: Registering enhanced test tokens...
INFO 2025-06-22 03:31:00,358 views [SUCCESS] Registered enhanced test token 1: 49.79ms
INFO 2025-06-22 03:31:00,405 views [SUCCESS] Registered enhanced test token 2: 47.50ms
INFO 2025-06-22 03:31:00,449 views [SUCCESS] Registered enhanced test token 3: 42.75ms
INFO 2025-06-22 03:31:00,450 views Step 2: Verifying token registration...
INFO 2025-06-22 03:31:00,483 views [SUCCESS] Server has 10 active tokens
INFO 2025-06-22 03:31:00,484 views Step 3: Testing push notification API...
INFO 2025-06-22 03:31:00,518 views [SUCCESS] Firebase API accessible: 34.48ms response time
INFO 2025-06-22 03:31:00,563 views [SUCCESS] Send API accessible: 44.95ms response time
INFO 2025-06-22 03:31:00,563 views Step 4: Measuring enhanced API latency...
INFO 2025-06-22 03:31:00,602 views [SUCCESS] API ping 1: 37.04ms
INFO 2025-06-22 03:31:00,639 views [SUCCESS] API ping 2: 36.43ms
INFO 2025-06-22 03:31:00,685 views [SUCCESS] API ping 3: 44.73ms
INFO 2025-06-22 03:31:00,686 views Step 5: Test summary...
INFO 2025-06-22 03:31:00,686 views Enhanced Firebase test completed: 8/8 tests successful
INFO 2025-06-22 03:31:00,687 views Completed firebase CLIENT->SERVER testing
INFO 2025-06-22 03:31:01,277 views CLIENT resource monitoring stopped
INFO 2025-06-22 03:31:01,278 views Resource monitoring stopped
INFO 2025-06-22 03:31:01,299 views Enhanced CLIENT->SERVER performance tests completed: enhanced_test_1750555859_58c7b36f
INFO 2025-06-22 03:31:01,300 views Enhanced CLIENT->SERVER performance tests completed: enhanced_test_1750555859_58c7b36f
